,precision,recall,f1-score,support
n01443537,0.9744,0.9744,0.9744,39.0000
n01629819,1.0000,1.0000,1.0000,44.0000
n01641577,0.8909,1.0000,0.9423,49.0000
n01644900,0.9574,0.8654,0.9091,52.0000
n01698640,0.9811,0.9811,0.9811,53.0000
n01742172,0.9545,0.9333,0.9438,45.0000
n01768244,1.0000,0.9825,0.9912,57.0000
n01770393,0.8684,0.9167,0.8919,36.0000
n01774384,0.9811,0.9811,0.9811,53.0000
n01774750,0.9697,0.9412,0.9552,34.0000
n01784675,0.9722,0.9211,0.9459,38.0000
n01855672,0.9796,1.0000,0.9897,48.0000
n01882714,1.0000,0.9600,0.9796,50.0000
n01910747,0.9808,1.0000,0.9903,51.0000
n01917289,0.9400,1.0000,0.9691,47.0000
n01944390,0.8767,0.9143,0.8951,70.0000
n01945685,0.9512,0.8478,0.8966,46.0000
n01950731,0.9643,0.9818,0.9730,55.0000
n01983481,0.8889,0.9524,0.9195,42.0000
n01984695,1.0000,0.9348,0.9663,46.0000
n02002724,0.9608,0.8909,0.9245,55.0000
n02056570,0.9744,0.9744,0.9744,39.0000
n02058221,1.0000,0.9434,0.9709,53.0000
n02074367,1.0000,1.0000,1.0000,49.0000
n02085620,0.9583,0.8846,0.9200,52.0000
n02094433,0.9811,0.9455,0.9630,55.0000
n02099601,0.9149,0.9149,0.9149,47.0000
n02099712,0.8571,0.9545,0.9032,44.0000
n02106662,0.9388,0.9020,0.9200,51.0000
n02113799,0.9815,0.9298,0.9550,57.0000
n02123045,0.9423,0.9423,0.9423,52.0000
n02123394,0.9636,1.0000,0.9815,53.0000
n02124075,1.0000,0.9815,0.9907,54.0000
n02125311,0.9574,0.9783,0.9677,46.0000
n02129165,0.9365,0.9833,0.9593,60.0000
n02132136,1.0000,0.9535,0.9762,43.0000
n02165456,1.0000,0.9412,0.9697,51.0000
n02190166,0.9362,0.9565,0.9462,46.0000
n02206856,0.9512,0.9750,0.9630,40.0000
n02226429,0.9836,0.9836,0.9836,61.0000
n02231487,0.9531,0.9839,0.9683,62.0000
n02233338,0.9400,0.9792,0.9592,48.0000
n02236044,0.9583,0.9787,0.9684,47.0000
n02268443,0.9828,0.9500,0.9661,60.0000
n02279972,1.0000,1.0000,1.0000,48.0000
n02281406,1.0000,1.0000,1.0000,47.0000
n02321529,0.9556,0.9149,0.9348,47.0000
n02364673,0.9216,0.9792,0.9495,48.0000
n02395406,0.9474,0.9000,0.9231,40.0000
n02403003,0.9216,0.9592,0.9400,49.0000
n02410509,0.9796,0.9796,0.9796,49.0000
n02415577,0.9524,0.9302,0.9412,43.0000
n02423022,0.9464,1.0000,0.9725,53.0000
n02437312,0.9800,0.9423,0.9608,52.0000
n02480495,0.9615,0.9804,0.9709,51.0000
n02481823,0.9762,0.9535,0.9647,43.0000
n02486410,0.9787,0.9583,0.9684,48.0000
n02504458,0.9825,1.0000,0.9912,56.0000
n02509815,1.0000,1.0000,1.0000,52.0000
n02666196,0.9365,0.9516,0.9440,62.0000
n02669723,0.9574,0.9184,0.9375,49.0000
n02699494,0.9483,0.9322,0.9402,59.0000
n02730930,0.9254,0.9538,0.9394,65.0000
n02769748,0.9545,0.8750,0.9130,48.0000
n02788148,0.8864,0.8667,0.8764,45.0000
n02791270,0.9250,0.9737,0.9487,38.0000
n02793495,0.9811,0.9630,0.9720,54.0000
n02795169,0.9600,0.9796,0.9697,49.0000
n02802426,0.9815,0.9815,0.9815,54.0000
n02808440,0.8980,0.9778,0.9362,45.0000
n02814533,0.9362,0.9778,0.9565,45.0000
n02814860,0.9811,0.9811,0.9811,53.0000
n02815834,0.9388,0.9388,0.9388,49.0000
n02823428,0.8868,0.9592,0.9216,49.0000
n02837789,0.9808,0.9107,0.9444,56.0000
n02841315,0.8667,0.9286,0.8966,42.0000
n02843684,0.9697,0.9412,0.9552,34.0000
n02883205,0.8182,0.9783,0.8911,46.0000
n02892201,0.9245,0.9800,0.9515,50.0000
n02906734,0.9268,0.9500,0.9383,40.0000
n02909870,0.9016,0.9649,0.9322,57.0000
n02917067,0.9592,0.9792,0.9691,48.0000
n02927161,0.9815,0.9464,0.9636,56.0000
n02948072,0.9592,0.9592,0.9592,49.0000
n02950826,0.9423,0.8909,0.9159,55.0000
n02963159,0.9828,0.9500,0.9661,60.0000
n02977058,0.9245,0.9074,0.9159,54.0000
n02988304,0.9783,0.9783,0.9783,46.0000
n02999410,0.9231,0.9057,0.9143,53.0000
n03014705,0.8958,0.9149,0.9053,47.0000
n03026506,0.9737,0.9737,0.9737,38.0000
n03042490,1.0000,0.9818,0.9908,55.0000
n03085013,1.0000,0.9783,0.9890,46.0000
n03089624,1.0000,0.9828,0.9913,58.0000
n03100240,0.9388,0.9200,0.9293,50.0000
n03126707,0.9167,0.9565,0.9362,46.0000
n03160309,1.0000,0.9153,0.9558,59.0000
n03179701,0.9583,1.0000,0.9787,46.0000
n03201208,1.0000,0.9091,0.9524,44.0000
n03250847,0.8780,0.9730,0.9231,37.0000
n03255030,0.8889,0.9231,0.9057,52.0000
n03355925,0.9565,0.9565,0.9565,69.0000
n03388043,0.9630,0.9286,0.9455,56.0000
n03393912,1.0000,0.9818,0.9908,55.0000
n03400231,0.9286,0.8864,0.9070,44.0000
n03404251,0.9677,0.8571,0.9091,35.0000
n03424325,0.9423,0.9423,0.9423,52.0000
n03444034,0.9608,1.0000,0.9800,49.0000
n03447447,1.0000,0.9792,0.9895,48.0000
n03544143,0.9649,0.9167,0.9402,60.0000
n03584254,0.9474,0.9474,0.9474,38.0000
n03599486,0.9459,0.9211,0.9333,38.0000
n03617480,0.9038,0.9400,0.9216,50.0000
n03637318,1.0000,0.8772,0.9346,57.0000
n03649909,0.9828,1.0000,0.9913,57.0000
n03662601,0.9615,0.9804,0.9709,51.0000
n03670208,0.9630,0.9455,0.9541,55.0000
n03706229,0.8500,0.9808,0.9107,52.0000
n03733131,0.9608,0.9608,0.9608,51.0000
n03763968,0.9167,0.8980,0.9072,49.0000
n03770439,0.9091,0.9804,0.9434,51.0000
n03796401,1.0000,0.9787,0.9892,47.0000
n03804744,0.8793,0.8947,0.8870,57.0000
n03814639,0.9483,0.9016,0.9244,61.0000
n03837869,0.9672,1.0000,0.9833,59.0000
n03838899,0.9333,0.8936,0.9130,47.0000
n03854065,0.9615,1.0000,0.9804,50.0000
n03891332,0.9655,0.8750,0.9180,64.0000
n03902125,0.8772,0.9615,0.9174,52.0000
n03930313,0.8864,0.9512,0.9176,41.0000
n03937543,0.9574,0.8824,0.9184,51.0000
n03970156,0.8727,0.9057,0.8889,53.0000
n03976657,0.8333,0.9184,0.8738,49.0000
n03977966,0.9286,1.0000,0.9630,52.0000
n03980874,0.9722,0.8750,0.9211,40.0000
n03983396,0.9474,0.9730,0.9600,37.0000
n03992509,0.9375,0.9000,0.9184,50.0000
n04008634,0.9655,0.9333,0.9492,60.0000
n04023962,0.9600,0.9600,0.9600,50.0000
n04067472,0.9821,0.9016,0.9402,61.0000
n04070727,0.9661,1.0000,0.9828,57.0000
n04074963,1.0000,0.9804,0.9901,51.0000
n04099969,0.9444,0.9808,0.9623,52.0000
n04118538,1.0000,0.9592,0.9792,49.0000
n04133789,1.0000,0.8980,0.9462,49.0000
n04146614,0.9778,0.9778,0.9778,45.0000
n04149813,0.9348,1.0000,0.9663,43.0000
n04179913,0.9804,1.0000,0.9901,50.0000
n04251144,0.9565,0.9706,0.9635,68.0000
n04254777,1.0000,0.9800,0.9899,50.0000
n04259630,0.9688,0.9118,0.9394,34.0000
n04265275,0.9630,0.8966,0.9286,58.0000
n04275548,0.9200,1.0000,0.9583,46.0000
n04285008,0.9464,0.9464,0.9464,56.0000
n04311004,0.9545,1.0000,0.9767,42.0000
n04328186,0.9474,0.9000,0.9231,40.0000
n04356056,0.9268,0.9268,0.9268,41.0000
n04366367,0.9737,0.9250,0.9487,40.0000
n04371430,0.8974,0.8750,0.8861,40.0000
n04376876,0.8704,0.8868,0.8785,53.0000
n04398044,0.9636,0.9815,0.9725,54.0000
n04399382,0.9130,0.9767,0.9438,43.0000
n04417672,0.9630,0.9811,0.9720,53.0000
n04456115,0.8974,0.8974,0.8974,39.0000
n04465501,0.9804,0.9091,0.9434,55.0000
n04486054,0.9796,0.9796,0.9796,49.0000
n04487081,1.0000,0.9643,0.9818,56.0000
n04501370,0.9524,0.9524,0.9524,42.0000
n04507155,0.8654,0.9375,0.9000,48.0000
n04532106,0.8627,0.9565,0.9072,46.0000
n04532670,0.9000,1.0000,0.9474,45.0000
n04540053,0.9310,0.9000,0.9153,60.0000
n04560804,0.9388,0.9583,0.9485,48.0000
n04562935,0.9818,1.0000,0.9908,54.0000
n04596742,0.9677,0.8824,0.9231,68.0000
n04597913,0.8704,0.8545,0.8624,55.0000
n06596364,0.9423,0.9423,0.9423,52.0000
n07579787,0.8909,0.9245,0.9074,53.0000
n07583066,0.9839,1.0000,0.9919,61.0000
n07614500,0.9459,0.9459,0.9459,37.0000
n07615774,0.9423,0.9245,0.9333,53.0000
n07695742,0.9459,0.8750,0.9091,40.0000
n07711569,0.9310,0.9310,0.9310,58.0000
n07715103,0.9388,0.9388,0.9388,49.0000
n07720875,0.9767,1.0000,0.9882,42.0000
n07734744,0.9667,0.9831,0.9748,59.0000
n07747607,1.0000,0.9773,0.9885,44.0000
n07749582,0.9783,0.9574,0.9677,47.0000
n07753592,1.0000,0.9434,0.9709,53.0000
n07768694,1.0000,1.0000,1.0000,51.0000
n07871810,0.9796,0.9057,0.9412,53.0000
n07873807,0.9667,0.9508,0.9587,61.0000
n07875152,0.9286,0.9811,0.9541,53.0000
n07920052,0.9545,1.0000,0.9767,42.0000
n09193705,0.9455,0.9630,0.9541,54.0000
n09246464,0.9062,0.9667,0.9355,60.0000
n09256479,0.9773,0.9348,0.9556,46.0000
n09332890,0.8704,0.9038,0.8868,52.0000
n09428293,0.9600,0.9057,0.9320,53.0000
n12267677,0.9167,0.9821,0.9483,56.0000
